Sat May 02 04:19:48 +0000 2026	miladhapy	0	0	@mm_ghobadi بله قطعی اینترنت اونم وقتی که خیلی از افراد با امتیاز خاص الان راحت استفاده میکنند و همراه اول با وقاحت اینترنت پرو میفروشه از موشک بدتره. شما حرفتون اینه چون شرایط اقتصادی خرید اینترنت پرو رو ندارند و نیاز به استفاده از اینترنت با شرایط قبل هستند باید هدف موشک قرار بگیره؟	https://x.com/miladhapy/status/2050430027485913318
Sat May 02 04:06:10 +0000 2026	DamDami	5	0	با این وضعیت محاصره دریایی اقتصادی، بیکاری، تورم، اینترنت طبقاتی و بدبختی، جاکشان معتقدن که وصل شدن اینترنت باعث به خطر افتادن امنیت ملی میشه!\nقبر پدرتونو سگ بگاد حرام‌زاده‌ها	https://x.com/DamDami/status/2050426597975425214
Sat May 02 03:25:56 +0000 2026	Persianshahh	3	1	🔴حسین آقا‌میری:\n\nاینترنت بین‌الملل برای مردم عادی نباید وصل بشود.	https://x.com/Persianshahh/status/2050416472183259580
Fri May 01 23:02:53 +0000 2026	Gandom_x	0	0	اگر کمترین دانش کامپیوتری‌ای داشته باشید با این روش میتونید به صورت رایگان به اینترنت بین‌الملل وصل بشید.\nhttps://t.co/wPnn7ywR5x https://t.co/gyR6vRGHVu	https://x.com/Gandom_x/status/2050350273596424591
Fri May 01 22:09:48 +0000 2026	NavidAFKR	2	0	@AboozarMas44488 شما اینترنت مردم وصل کنید من یکی قول میدم نسخه نپیچم واستون بزارم مردم داخل ایرا خودشون صحبت کنن\nمثل طوفان از روتون رد میشن حرومزاده های سیم کارت سفید\n#KingRezaPahlavi‌ForIran	https://x.com/NavidAFKR/status/2050336913404395755
Fri May 01 21:25:44 +0000 2026	Bihosel	21	0	امروز یه بنده‌خدایی گفت اگر بخوای، می‌تونم برات اینترنت پرو جور کنم.\nنگاهش کردم گفتم فلانی، بی‌شوخی می‌گم؛ حتی اگر مجبور شم ده میلیون ماهی پول کانفیگ بدم یا دیگه وصل نشم، هیچ‌وقت به اینترنت طبقاتی رسمیت و مشروعیت نمی‌بخشم. هیچ‌وقت از این ظلم دولتی سازمانی حمایت نمی‌کنم.	https://x.com/Bihosel/status/2050325826420281745
Fri May 01 20:55:49 +0000 2026	Shokufii	0	0	این اینترنت کِی وصل میشه؟\nامشب شنیدم‌ با جواز کسب و این داستانا رفتن‌ واسه گرفتن سیم کارت پرو و اینترنت ندادن بهشون…\nچی بگم از ناراحتی نمیدونم چی بنویسم!	https://x.com/Shokufii/status/2050318295941673288
Fri May 01 20:38:28 +0000 2026	pelkhad	11	0	خیر آقا!\nاین بحثی که ایشون گفته هم شبیه دکترین هسته‌ای جمهوری اسلامیه. سالها در مورد نابودی تل‌آویو و حیفا حرف میزنه و وقتی هم که ابراز بمب هسته‌ای توسعه میده میگه برنامه‌م صلح آمیزه.\nوقتی طرح تداوم قطعی و طبقاتی و ملی کردن اینترنت هنوز چیزیه که قوای مختلف حکومت	https://x.com/pelkhad/status/2050313929998340149
Fri May 01 20:32:56 +0000 2026	nedabahram	1	0	⭕️⭕️⭕️ بعد از "سازمان نظام پرستاری"، نهادهای «انجمن صنفی طراحان گرافیک، کانون وکلای دادگستری اصفهان و کانون وکلای دادگستری سمنان» از دریافتِ "اینترنت پرو" خودداری کردند\n\n#KingRezaPahlavi‌ForIran \n#DigitalBlackOutIran‌	https://x.com/nedabahram/status/2050312537623683353
Fri May 01 20:18:15 +0000 2026	avalinmoj	2	0	کسی که از کانفیگ استفاده میکنه صرفا به حکومت پول میده تا به اینترنت وصل شه. ولی اونی که از اینترنت پرو استفاده میکنه به‌ حکومت اجازه قطع بودن اینترنت رو میده.\n\nهرکس از چنین چیزی استفاده میکنه نقش مستقیم در قطع اینترنت داره.	https://x.com/avalinmoj/status/2050308841858871566
